!ORDERID,!ITEMID,!PRODUCTID,!PRODUCTCODE,!PRODUCT,!PRICE,!AMOUNT,!PROVIDER,!OPTION_CLASS,!OPTION_VALUE,!EXTRA_DATA
10,14,7,3552,Flying Free French Roast,9.99,10,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""74.92"";s:8:""subtotal"";s:5:""74.92"";}}"
11,15,7,3552,Flying Free French Roast,9.99,10,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""74.92"";s:8:""subtotal"";s:5:""74.92"";}}"
12,16,7,3552,Flying Free French Roast,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:10.49;s:16:""discounted_price"";d:31.469999999999999;s:8:""subtotal"";d:31.469999999999999;}}"
13,17,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""17.98"";s:8:""subtotal"";s:5:""17.98"";}}"
14,18,7,3552,Flying Free French Roast,10.49,7,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""66.09"";s:8:""subtotal"";s:5:""66.09"";}}"
14,19,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:4:""9.98"";s:8:""subtotal"";s:4:""9.98"";}}"
15,20,8,3514,Morning Birdsong Breakfast Blend,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""34.96"";s:8:""subtotal"";s:5:""34.96"";}}"
16,21,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
17,22,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
18,23,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
19,24,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
20,25,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
21,26,9,3570,No Ruffled Feathers Decaf,11.09,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:6;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""33.27"";s:8:""subtotal"";s:5:""33.27"";}}"
22,27,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
22,28,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
23,29,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
24,30,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
25,31,7,3552,Flying Free French Roast,9.99,7,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""62.94"";s:8:""subtotal"";s:5:""62.94"";}}"
26,32,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
27,33,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
27,34,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
27,35,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:6;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
28,36,9,3570,No Ruffled Feathers Decaf,10.59,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:5;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""21.18"";s:8:""subtotal"";s:5:""21.18"";}}"
29,37,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
29,38,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
30,39,8,3514,Morning Birdsong Breakfast Blend,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""31.47"";s:8:""subtotal"";s:5:""31.47"";}}"
30,40,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:6;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
32,43,8,3514,Morning Birdsong Breakfast Blend,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
33,44,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
34,45,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
35,46,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
35,47,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
36,48,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
37,49,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
38,50,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
38,51,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
39,52,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
40,53,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
40,54,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
41,55,9,3570,No Ruffled Feathers Decaf,11.09,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:11.089999999999999857891452847979962825775146484375;s:16:""discounted_price"";d:33.2699999999999960209606797434389591217041015625;s:8:""subtotal"";d:33.27000000000000312638803734444081783294677734375;}}"
42,56,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
43,57,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
44,58,8,3514,Morning Birdsong Breakfast Blend,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
45,59,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
46,60,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
47,61,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
48,62,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
49,63,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
50,64,7,3552,Flying Free French Roast,9.99,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""26.97"";s:8:""subtotal"";s:5:""26.97"";}}"
50,65,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""8.99"";s:8:""subtotal"";s:4:""8.99"";}}"
50,66,9,3570,No Ruffled Feathers Decaf,10.59,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""38.12"";s:8:""subtotal"";s:5:""38.12"";}}"
51,67,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
52,68,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
52,69,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
52,70,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:6;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
53,71,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
54,72,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
55,73,9,3570,No Ruffled Feathers Decaf,11.09,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""33.27"";s:8:""subtotal"";s:5:""33.27"";}}"
56,74,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
56,75,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
57,76,7,3552,Flying Free French Roast,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""28.32"";s:8:""subtotal"";s:5:""28.32"";}}"
58,77,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
58,78,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:5;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
59,79,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
60,80,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
61,81,8,3514,Morning Birdsong Breakfast Blend,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
62,82,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
62,83,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
63,84,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
63,85,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
